X(mm),Y(mm),Z(mm)
0.000000,95.250000,0.000000
0.099933,95.250000,0.000000
0.199866,95.250000,0.000000
0.299799,95.250000,0.000000
0.399732,95.250000,0.000000
0.499665,95.250000,0.000000
0.599598,95.250000,0.000000
0.699531,95.250000,0.000000
0.799464,95.250000,0.000000
0.899397,95.250000,0.000000
0.999330,95.250000,0.000000
1.099263,95.250000,0.000000
1.199196,95.250000,0.000000
1.299129,95.250000,0.000000
1.399062,95.250000,0.000000
1.498995,95.250000,0.000000
1.598928,95.250000,0.000000
1.698861,95.250000,0.000000
1.798794,95.250000,0.000000
1.898727,95.250000,0.000000
1.998660,95.250000,0.000000
2.098593,95.250000,0.000000
2.198526,95.250000,0.000000
2.298459,95.250000,0.000000
2.398392,95.250000,0.000000
2.498325,95.250000,0.000000
2.598258,95.250000,0.000000
2.698191,95.250000,0.000000
2.798124,95.250000,0.000000
2.898057,95.250000,0.000000
2.997990,95.250000,0.000000
3.097923,95.250000,0.000000
3.197856,95.250000,0.000000
3.297789,95.250000,0.000000
3.397722,95.250000,0.000000
3.497655,95.250000,0.000000
3.597588,95.250000,0.000000
3.697521,95.250000,0.000000
3.797454,95.250000,0.000000
3.897387,95.250000,0.000000
3.997321,95.250000,0.000000
4.097254,95.250000,0.000000
4.197187,95.250000,0.000000
4.297120,95.250000,0.000000
4.397053,95.250000,0.000000
4.496986,95.250000,0.000000
4.596919,95.250000,0.000000
4.696852,95.250000,0.000000
4.796785,95.250000,0.000000
4.896718,95.250000,0.000000
4.996651,95.250000,0.000000
5.096584,95.250000,0.000000
5.196517,95.250000,0.000000
5.296450,95.250000,0.000000
5.396383,95.250000,0.000000
5.496316,95.250000,0.000000
5.596249,95.250000,0.000000
5.696182,95.250000,0.000000
5.796115,95.250000,0.000000
5.896048,95.250000,0.000000
5.995981,95.250000,0.000000
6.095914,95.250000,0.000000
6.195847,95.250000,0.000000
6.295780,95.250000,0.000000
6.395713,95.250000,0.000000
6.495646,95.250000,0.000000
6.595579,95.250000,0.000000
6.695512,95.250000,0.000000
6.795445,95.250000,0.000000
6.895378,95.250000,0.000000
6.995311,95.250000,0.000000
7.095244,95.250000,0.000000
7.195177,95.250000,0.000000
