Average_IMU_SPS_Hz,6876.021
IMU_Time_sec,Accel_X_raw,Accel_Y_raw,Accel_Z_raw,Gyro_X_raw,Gyro_Y_raw,Gyro_Z_raw
0.0,-7,-139,8350,38,-39,-1
0.000145,23,-165,8318,-6,-58,-51
0.000279,-24,-112,8215,88,-103,31
0.000418,14,-108,8288,12,-39,-51
0.000557,28,-127,8305,56,-77,-20
0.000697,-17,-105,8269,12,-65,-45
0.000836,-24,-124,8279,82,-77,-13
0.000975,70,-123,8297,31,-39,-13
0.001115,6,-127,8320,50,-109,-32
0.001254,4,-138,8311,12,-71,-7
0.001393,19,-124,8275,50,-77,-26
0.001533,-13,-139,8306,69,-52,-13
0.001672,47,-94,8269,25,-97,-51
0.001811,33,-98,8306,88,-52,-7
0.001951,4,-122,8329,19,-84,18
0.00209,14,-108,8244,6,-58,-51
0.002229,3,-129,8296,100,-84,-13
0.002368,38,-89,8300,6,-46,-13
0.002508,16,-129,8315,82,-90,-32
0.002647,38,-153,8265,19,-58,-51
0.002786,-1,-127,8308,50,-33,5
0.002926,33,-121,8256,94,-128,-45
0.003065,3,-72,8254,0,-20,5
0.003204,-3,-144,8309,56,-109,-39
0.003344,40,-108,8245,56,-26,-32
0.003483,34,-106,8244,25,-109,12
0.003622,32,-65,8309,50,-39,-32
0.003762,31,-122,8296,75,-97,-26
0.003901,40,-136,8227,19,-77,-32
0.00404,26,-175,8330,44,-52,-20
0.004179,17,-166,8300,63,-58,5
0.004319,33,-162,8302,38,-109,-51
0.004458,-4,-152,8315,38,-39,5
0.004597,-14,-126,8333,94,-84,-39
0.004737,-18,-156,8290,-6,-65,-1
0.004876,76,-99,8295,19,-77,-13
0.005015,24,-154,8267,63,-65,-51
0.005155,6,-97,8268,38,-90,5
0.005294,-34,-136,8315,63,-39,-1
0.005433,4,-136,8303,56,-122,-32
0.005573,9,-150,8335,31,-58,-51
0.005712,-37,-162,8291,50,-84,12
0.005851,-5,-131,8303,19,-46,-13
0.00599,23,-124,8339,50,-65,-39
0.00613,80,-156,8341,82,-116,-39
0.006269,6,-152,8355,25,-33,12
0.006412,12,-134,8389,50,-65,-39
0.006548,-28,-142,8331,31,-90,-20
0.006687,28,-113,8256,19,-39,12
0.006826,-16,-142,8303,75,-122,-51
0.006966,-2,-113,8279,50,-52,-26
0.007105,29,-58,8280,38,-58,-20
0.007244,28,-122,8297,31,-46,-1
0.007384,40,-177,8298,82,-122,-64
0.007523,-19,-132,8327,12,-39,-7
0.007662,53,-118,8269,75,-58,-13
0.007801,31,-160,8288,-6,-84,-32
