Average_MAG_SPS_Hz,798.729
MAG_Time_sec,Mag_X_raw,Mag_Y_raw,Mag_Z_raw
0.00068,-2140,1058,-5424
0.001627,-2148,1020,-5412
0.002574,-2180,982,-5431
0.003522,-2144,984,-5441
0.004469,-2126,974,-5470
0.005416,-2120,998,-5369
0.006362,-2118,984,-5393
0.007309,-2086,994,-5402
0.008257,-2140,1012,-5477
0.009204,-2162,996,-5418
0.010151,-2108,982,-5416
0.011098,-2116,1000,-5429
0.012045,-2122,1034,-5424
0.012994,-2140,1034,-5431
0.013939,-2116,984,-5347
0.014886,-2134,1018,-5430
0.015833,-2134,960,-5399
0.016779,-2138,970,-5434
0.017726,-2122,988,-5444
0.018676,-2162,1000,-5414
0.019619,-2122,964,-5443
0.020566,-2080,998,-5409
0.021512,-2132,978,-5387
0.022459,-2112,1016,-5510
0.023407,-2134,980,-5413
0.024354,-2118,1008,-5384
0.0253,-2134,994,-5419
0.026247,-2110,934,-5458
0.027193,-2134,996,-5392
0.028143,-2168,1006,-5459
0.029087,-2204,954,-5365
0.030034,-2152,974,-5405
0.030982,-2154,996,-5400
0.031929,-2108,984,-5316
0.032879,-2160,936,-5339
0.033823,-2108,994,-5438
0.03477,-2082,988,-5361
0.035717,-2122,956,-5480
0.036665,-2156,976,-5440
0.037612,-2160,966,-5450
0.038559,-2134,978,-5410
0.039506,-2144,958,-5431
0.040453,-2114,1028,-5372
0.0414,-2138,994,-5434
0.042348,-2154,1034,-5347
0.043295,-2130,994,-5439
0.044242,-2128,984,-5438
0.04519,-2124,958,-5416
0.053714,-2096,1018,-5418
0.054661,-2184,990,-5463
0.055609,-2142,1034,-5499
0.056556,-2134,1014,-5428
0.057503,-2130,946,-5421
0.05845,-2122,1008,-5444
0.059398,-2108,996,-5413
0.060344,-2112,1014,-5415
0.061291,-2134,1048,-5400
0.062238,-2110,984,-5435
0.063186,-2112,1012,-5427
0.064132,-2124,964,-5438
0.065079,-2116,1018,-5371
0.066027,-2114,1002,-5456
0.066974,-2150,996,-5439
0.06792,-2132,968,-5399
0.068868,-2118,984,-5480
0.069815,-2092,1018,-5374
0.070763,-2158,998,-5405
0.07171,-2112,1022,-5434
0.072658,-2120,978,-5448
0.073607,-2066,1004,-5404
0.074552,-2100,948,-5440
0.075499,-2112,990,-5408
0.076446,-2090,986,-5440
0.077393,-2118,976,-5410
0.07834,-2104,974,-5438
0.079287,-2074,962,-5374
0.080234,-2108,974,-5425
0.08118,-2132,984,-5417
0.082127,-2160,1002,-5424
0.083077,-2154,1010,-5413
0.084022,-2120,1012,-5417
0.084969,-2132,974,-5366
0.085916,-2136,980,-5444
0.086864,-2086,996,-5454
0.087813,-2128,1020,-5420
0.088758,-2124,974,-5381
0.089705,-2128,1000,-5440
0.090652,-2118,1032,-5419
0.0916,-2114,990,-5427
0.092551,-2114,1000,-5398
0.093493,-2108,1020,-5453
0.09444,-2134,954,-5434
0.095387,-2110,1004,-5441
0.096337,-2132,1014,-5462
0.097286,-2138,1012,-5474
0.09823,-2118,972,-5402
0.099178,-2128,980,-5460
0.100125,-2150,954,-5378
0.101072,-2138,1004,-5407
0.102022,-2142,1006,-5375
0.102966,-2104,956,-5393
0.103913,-2110,966,-5409
0.104861,-2116,984,-5425
