Date,2026-05-06 23:14:15
Duration (s),3.5490
Comment,Still

X,Y,Z,w,x,y,z,T
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7400,23383648
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7400,23383667
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7400,23383685
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7400,23383721
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7400,23383739
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7400,23383758
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7400,23383794
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7400,23383812
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7400,23383830
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7400,23383867
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7400,23383885
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7400,23383903
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7400,23383940
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7400,23383958
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7400,23383994
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7400,23384012
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7400,23384031
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3200,0.7400,23384067
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7420,23384085
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7420,23384103
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7400,23384140
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7400,23384158
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7400,23384176
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7400,23384213
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7400,23384231
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7400,23384249
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7400,23384285
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3160,0.7400,23384304
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7400,23384322
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7400,23384358
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3160,0.7400,23384376
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7400,23384395
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7400,23384431
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7400,23384449
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7400,23384467
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7380,23384504
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7380,23384522
3.3841,0.4613,-1.4458,32.7580,0.0100,0.3180,0.7400,23384540
3.3841,0.4613,-1.4458,32.7580,0.0120,0.3180,0.7400,23384558
3.3841,0.4613,-1.4458,32.7580,0.0120,0.3180,0.7400,23384595
3.3841,0.4613,-1.4458,32.7580,0.0120,0.3180,0.7400,23384613
