Date,2026-05-06 23:14:50
Duration (s),2.6400
Comment,straight up and stop

X,Y,Z,w,x,y,z,T
3.3818,0.4617,-1.4451,32.7640,0.0000,0.2960,0.4020,23418720
3.3818,0.4617,-1.4452,32.7640,0.0000,0.2960,0.4040,23418757
3.3818,0.4617,-1.4452,32.7640,0.0000,0.2940,0.4040,23418775
3.3818,0.4617,-1.4452,32.7640,-0.0020,0.2940,0.4040,23418793
3.3818,0.4617,-1.4452,32.7640,0.0000,0.2940,0.4040,23418830
3.3818,0.4617,-1.4452,32.7640,0.0000,0.2940,0.4040,23418848
3.3818,0.4617,-1.4452,32.7640,0.0000,0.2940,0.4040,23418866
3.3818,0.4617,-1.4452,32.7640,0.0000,0.2980,0.4060,23418902
3.3818,0.4617,-1.4452,32.7640,0.0000,0.2960,0.4060,23418921
3.3818,0.4617,-1.4452,32.7640,-0.0020,0.2900,0.4040,23418939
3.3818,0.4617,-1.4452,32.7640,-0.0020,0.2880,0.4040,23418975
3.3818,0.4617,-1.4452,32.7640,-0.0020,0.2880,0.4060,23418993
3.3818,0.4617,-1.4452,32.7640,-0.0040,0.2880,0.4060,23419012
3.3818,0.4617,-1.4452,32.7640,-0.0040,0.2880,0.4080,23419030
3.3818,0.4617,-1.4452,32.7640,-0.0040,0.2860,0.4100,23419066
3.3818,0.4617,-1.4452,32.7640,-0.0060,0.2840,0.4100,23419084
3.3818,0.4617,-1.4452,32.7640,-0.0080,0.2820,0.4080,23419103
3.3818,0.4617,-1.4452,32.7640,-0.0120,0.2780,0.4080,23419139
3.3818,0.4617,-1.4452,32.7640,-0.0140,0.2760,0.4080,23419157
3.3818,0.4617,-1.4451,32.7640,-0.0220,0.2740,0.4060,23419175
3.3819,0.4618,-1.4450,32.7640,-0.0680,0.3000,0.4000,23419212
3.3819,0.4619,-1.4450,32.7620,-0.0880,0.2960,0.4100,23419230
3.3817,0.4619,-1.4449,32.7640,-0.1040,0.2400,0.4240,23419248
3.3816,0.4621,-1.4443,32.7620,-0.2020,0.1060,0.4720,23419285
3.3817,0.4623,-1.4438,32.7620,-0.2860,0.0140,0.5240,23419303
