Date,2026-05-06 23:15:04
Duration (s),2.1660
Comment,straight up with 90 deg rotation

X,Y,Z,w,x,y,z,T
3.3775,0.4453,-1.7357,32.7540,-0.0420,0.3300,0.8420,23432862
3.3775,0.4453,-1.7357,32.7540,-0.0380,0.3100,0.8420,23432880
3.3774,0.4453,-1.7356,32.7560,-0.0280,0.2460,0.8420,23432917
3.3774,0.4453,-1.7356,32.7560,-0.0200,0.2180,0.8420,23432935
3.3774,0.4454,-1.7355,32.7560,-0.0240,0.1860,0.8420,23432953
3.3775,0.4455,-1.7355,32.7560,-0.0300,0.1400,0.8460,23432990
3.3776,0.4456,-1.7355,32.7560,-0.0180,0.1320,0.8500,23433008
3.3777,0.4456,-1.7355,32.7560,-0.0220,0.1380,0.8640,23433026
3.3777,0.4454,-1.7350,32.7540,-0.0160,0.0880,0.8920,23433062
3.3778,0.4454,-1.7343,32.7540,-0.0100,0.0160,0.8960,23433081
3.3783,0.4451,-1.7323,32.7540,-0.0200,-0.2580,0.9120,23433117
3.3787,0.4451,-1.7312,32.7520,0.0480,-0.3500,0.9060,23433135
3.3792,0.4452,-1.7298,32.7520,0.1040,-0.3960,0.9040,23433153
3.3801,0.4454,-1.7258,32.7500,0.1220,-0.5260,0.9000,23433190
3.3800,0.4457,-1.7230,32.7460,0.1400,-0.7000,0.9240,23433208
3.3799,0.4461,-1.7199,32.7400,0.1880,-0.9000,0.9420,23433226
3.3797,0.4469,-1.7132,32.7300,0.3160,-1.1940,0.9720,23433263
3.3797,0.4474,-1.7095,32.7220,0.3820,-1.3360,0.9820,23433281
3.3797,0.4479,-1.7055,32.7140,0.4480,-1.5080,0.9880,23433299
3.3799,0.4491,-1.6970,32.6940,0.6220,-1.8560,0.9980,23433335
3.3801,0.4498,-1.6924,32.6800,0.6700,-2.0380,1.0260,23433354
3.3802,0.4504,-1.6875,32.6640,0.7700,-2.2340,1.0520,23433372
3.3804,0.4508,-1.6772,32.6240,0.9680,-2.6640,1.1260,23433408
3.3806,0.4506,-1.6715,32.5980,1.0160,-2.9440,1.1740,23433426
3.3807,0.4503,-1.6653,32.5600,1.1020,-3.2960,1.2240,23433445
3.3807,0.4497,-1.6521,32.4540,1.3080,-4.1220,1.3220,23433481
3.3807,0.4497,-1.6453,32.3980,1.3920,-4.4960,1.3580,23433499
3.3808,0.4496,-1.6387,32.3440,1.5240,-4.8240,1.3860,23433517
3.3811,0.4497,-1.6250,32.2320,1.7720,-5.4400,1.4240,23433554
3.3812,0.4496,-1.6177,32.1660,1.8940,-5.7760,1.4380,23433572
3.3812,0.4496,-1.6104,32.0900,2.0140,-6.1340,1.4680,23433590
3.3813,0.4496,-1.6031,32.0140,2.1240,-6.4900,1.4700,23433608
3.3819,0.4492,-1.5886,31.8680,2.2980,-7.1260,1.4420,23433645
3.3824,0.4491,-1.5813,31.7920,2.3780,-7.4340,1.4160,23433663
3.3824,0.4490,-1.5743,31.7120,2.4800,-7.7380,1.3920,23433681
3.3825,0.4491,-1.5707,31.5480,2.6300,-8.3500,1.3420,23433718
3.3826,0.4493,-1.5706,31.4620,2.6240,-8.6640,1.3360,23433736
3.3826,0.4494,-1.5707,31.3700,2.6700,-8.9800,1.3500,23433754
3.3828,0.4495,-1.5707,31.1740,2.9300,-9.5720,1.2960,23433790
3.3829,0.4496,-1.5702,31.0540,2.9760,-9.9440,1.2760,23433809
3.3830,0.4493,-1.5694,30.7320,3.0520,-10.8780,1.2580,23433845
3.3833,0.4491,-1.5690,30.5680,3.1000,-11.3200,1.2080,23433863
3.3837,0.4489,-1.5687,30.4140,3.1160,-11.7300,1.1680,23433881
3.3849,0.4481,-1.5683,30.0820,3.1620,-12.5560,1.0360,23433918
3.3855,0.4479,-1.5683,29.9020,3.1820,-12.9800,0.9740,23433936
3.3862,0.4478,-1.5685,29.7100,3.2000,-13.4080,0.9460,23433954
3.3873,0.4478,-1.5696,29.3260,3.2340,-14.2240,0.9120,23433991
3.3874,0.4478,-1.5706,29.1180,3.2080,-14.6540,0.8480,23434009
3.3879,0.4483,-1.5730,28.7120,3.2180,-15.4420,0.7120,23434045
3.3883,0.4491,-1.5744,28.4980,3.1440,-15.8500,0.6720,23434063
3.3887,0.4501,-1.5762,28.2660,3.0680,-16.2720,0.6640,23434082
3.3892,0.4511,-1.5782,28.0380,3.0320,-16.6680,0.6920,23434100
3.3908,0.4533,-1.5830,27.5940,2.9780,-17.4060,0.6020,23434136
3.3917,0.4547,-1.5857,27.3840,2.9420,-17.7420,0.5640,23434154
3.3929,0.4561,-1.5888,27.1820,2.9340,-18.0500,0.5700,23434173
3.3958,0.4588,-1.5960,26.8260,2.9420,-18.5760,0.4800,23434209
3.3976,0.4603,-1.6001,26.6760,2.9880,-18.7860,0.4620,23434227
3.3996,0.4616,-1.6044,26.5460,3.0940,-18.9520,0.4620,23434245
3.4038,0.4644,-1.6135,26.3040,3.2180,-19.2680,0.3740,23434282
