Date,2026-05-07 00:02:29
Duration (s),5.4420
Comment,"table square (X/Y, eyeballed)"

X,Y,Z,w,x,y,z,T
-0.0016,-0.0022,0.0174,32.7660,0.0420,0.3140,-0.0620,751391
-0.0016,-0.0022,0.0174,32.7660,0.0420,0.3140,-0.0620,751409
-0.0016,-0.0022,0.0174,32.7660,0.0400,0.3140,-0.0620,751445
-0.0016,-0.0022,0.0174,32.7660,0.0400,0.3140,-0.0620,751463
-0.0016,-0.0022,0.0174,32.7660,0.0400,0.3140,-0.0620,751482
-0.0016,-0.0022,0.0174,32.7660,0.0400,0.3140,-0.0580,751518
-0.0016,-0.0022,0.0174,32.7660,0.0400,0.3140,-0.0580,751536
-0.0016,-0.0022,0.0174,32.7660,0.0400,0.3140,-0.0580,751554
-0.0016,-0.0022,0.0174,32.7660,0.0400,0.3140,-0.0580,751591
-0.0016,-0.0022,0.0174,32.7660,0.0420,0.3160,-0.0580,751609
-0.0016,-0.0022,0.0174,32.7660,0.0420,0.3140,-0.0580,751627
-0.0016,-0.0022,0.0174,32.7660,0.0420,0.3140,-0.0580,751664
-0.0016,-0.0022,0.0174,32.7660,0.0420,0.3140,-0.0580,751682
-0.0016,-0.0022,0.0174,32.7660,0.0420,0.3140,-0.0580,751700
-0.0016,-0.0022,0.0174,32.7660,0.0420,0.3140,-0.0580,751737
-0.0016,-0.0022,0.0174,32.7660,0.0420,0.3140,-0.0580,751755
-0.0016,-0.0022,0.0174,32.7660,0.0420,0.3140,-0.0580,751773
-0.0016,-0.0022,0.0174,32.7660,0.0420,0.3140,-0.0580,751809
-0.0016,-0.0022,0.0174,32.7660,0.0420,0.3140,-0.0580,751827
-0.0016,-0.0022,0.0174,32.7660,0.0420,0.3140,-0.0580,751846
-0.0016,-0.0022,0.0174,32.7660,0.0420,0.3140,-0.0580,751864
-0.0016,-0.0022,0.0174,32.7660,0.0420,0.3140,-0.0580,751900
-0.0016,-0.0022,0.0174,32.7660,0.0420,0.3140,-0.0580,751918
-0.0016,-0.0022,0.0174,32.7660,0.0420,0.3140,-0.0580,751955
-0.0016,-0.0022,0.0174,32.7660,0.0420,0.3120,-0.0580,751973
-0.0016,-0.0022,0.0174,32.7660,0.0420,0.3120,-0.0580,751991
-0.0016,-0.0022,0.0174,32.7660,0.0400,0.3120,-0.0580,752028
-0.0016,-0.0022,0.0174,32.7660,0.0400,0.3120,-0.0580,752046
-0.0016,-0.0022,0.0174,32.7660,0.0400,0.3120,-0.0580,752064
-0.0016,-0.0021,0.0174,32.7660,0.0420,0.3120,-0.0600,752082
-0.0017,-0.0018,0.0174,32.7660,0.0460,0.3160,-0.0760,752119
-0.0017,-0.0015,0.0174,32.7660,0.0520,0.3200,-0.0960,752137
-0.0017,-0.0013,0.0174,32.7660,0.0560,0.3240,-0.1200,752155
-0.0017,-0.0013,0.0174,32.7640,0.0640,0.3340,-0.1580,752191
-0.0017,-0.0011,0.0175,32.7640,0.0760,0.3380,-0.1640,752210
-0.0016,-0.0001,0.0174,32.7640,0.0720,0.3360,-0.2040,752228
-0.0013,0.0039,0.0174,32.7640,0.0680,0.3320,-0.3020,752264
-0.0012,0.0060,0.0174,32.7640,0.0680,0.3300,-0.3320,752282
-0.0009,0.0097,0.0174,32.7640,0.0600,0.3200,-0.3860,752319
-0.0007,0.0116,0.0174,32.7620,0.0620,0.3200,-0.4400,752337
-0.0005,0.0135,0.0174,32.7620,0.0620,0.3160,-0.5120,752355
-0.0002,0.0179,0.0174,32.7600,0.0660,0.3100,-0.6440,752392
-0.0000,0.0204,0.0174,32.7580,0.0680,0.3060,-0.6820,752410
0.0000,0.0230,0.0174,32.7560,0.0700,0.3060,-0.7480,752428
0.0001,0.0283,0.0174,32.7540,0.0720,0.3060,-0.8940,752464
