Date,2026-05-07 00:03:10
Duration (s),3.7670
Comment,table circle (X/Y eyeballed)

X,Y,Z,w,x,y,z,T
-0.1415,0.0389,0.0211,32.7640,0.0380,0.3060,-0.3600,792360
-0.1415,0.0389,0.0211,32.7640,0.0380,0.3060,-0.3600,792378
-0.1415,0.0389,0.0211,32.7640,0.0380,0.3060,-0.3600,792396
-0.1415,0.0389,0.0211,32.7640,0.0380,0.3060,-0.3600,792433
-0.1415,0.0389,0.0211,32.7640,0.0380,0.3060,-0.3600,792451
-0.1415,0.0389,0.0211,32.7640,0.0360,0.3060,-0.3600,792469
-0.1415,0.0389,0.0211,32.7640,0.0360,0.3060,-0.3600,792487
-0.1415,0.0389,0.0211,32.7640,0.0360,0.3060,-0.3600,792524
-0.1415,0.0389,0.0211,32.7640,0.0360,0.3060,-0.3600,792542
-0.1415,0.0389,0.0211,32.7640,0.0360,0.3060,-0.3600,792560
-0.1415,0.0389,0.0211,32.7640,0.0360,0.3060,-0.3600,792596
-0.1415,0.0389,0.0211,32.7640,0.0360,0.3060,-0.3600,792615
-0.1415,0.0389,0.0211,32.7640,0.0360,0.3060,-0.3620,792633
-0.1415,0.0389,0.0211,32.7640,0.0360,0.3060,-0.3620,792669
-0.1415,0.0389,0.0211,32.7640,0.0360,0.3060,-0.3620,792687
-0.1414,0.0389,0.0211,32.7640,0.0360,0.3040,-0.3720,792706
-0.1413,0.0388,0.0211,32.7640,0.0340,0.3040,-0.3880,792742
-0.1411,0.0387,0.0211,32.7640,0.0320,0.3000,-0.4000,792760
-0.1408,0.0388,0.0211,32.7620,0.0320,0.2980,-0.4180,792778
-0.1398,0.0387,0.0211,32.7620,0.0300,0.2900,-0.4620,792815
-0.1392,0.0387,0.0211,32.7620,0.0280,0.2880,-0.4780,792833
-0.1385,0.0387,0.0211,32.7620,0.0280,0.2880,-0.4920,792851
-0.1372,0.0388,0.0211,32.7620,0.0280,0.2860,-0.5380,792888
-0.1366,0.0389,0.0211,32.7600,0.0300,0.2880,-0.5760,792906
-0.1358,0.0391,0.0211,32.7600,0.0280,0.2860,-0.6040,792924
-0.1342,0.0397,0.0211,32.7600,0.0280,0.2820,-0.6480,792960
-0.1334,0.0397,0.0211,32.7580,0.0280,0.2800,-0.6740,792979
-0.1334,0.0398,0.0211,32.7580,0.0300,0.2780,-0.7040,792997
-0.1332,0.0399,0.0211,32.7580,0.0300,0.2760,-0.7300,793015
