X(mm),Y(mm),Z(mm)
-107.878680,-469.915492,0.000000
-107.873882,-469.910694,0.000000
-107.869084,-469.905896,0.000000
-107.864285,-469.901097,0.000000
-107.859487,-469.896299,0.000000
-107.854689,-469.891501,0.000000
-107.849891,-469.886703,0.000000
-107.845093,-469.881905,0.000000
-107.840295,-469.877107,0.000000
-107.835497,-469.872309,0.000000
-107.830699,-469.867511,0.000000
-107.825901,-469.862713,0.000000
-107.821103,-469.857915,0.000000
-107.816305,-469.853117,0.000000
-107.811507,-469.848319,0.000000
-107.806709,-469.843521,0.000000
-107.801911,-469.838723,0.000000
-107.797113,-469.833925,0.000000
-107.792314,-469.829126,0.000000
-107.787516,-469.824328,0.000000
-107.782718,-469.819530,0.000000
-107.777920,-469.814732,0.000000
-107.773122,-469.809934,0.000000
-107.768324,-469.805136,0.000000
-107.763526,-469.800338,0.000000
-107.758728,-469.795540,0.000000
-107.753930,-469.790742,0.000000
-107.749132,-469.785944,0.000000
-107.744334,-469.781146,0.000000
-107.739536,-469.776348,0.000000
-107.734738,-469.771550,0.000000
-107.729940,-469.766752,0.000000
-107.725142,-469.761954,0.000000
-107.720343,-469.757155,0.000000
-107.715545,-469.752357,0.000000
-107.710747,-469.747559,0.000000
-107.705949,-469.742761,0.000000
-107.701151,-469.737963,0.000000
-107.696353,-469.733165,0.000000
-107.691555,-469.728367,0.000000
-107.686757,-469.723569,0.000000
-107.681959,-469.718771,0.000000
-107.677161,-469.713973,0.000000
-107.672363,-469.709175,0.000000
-107.667565,-469.704377,0.000000
-107.662767,-469.699579,0.000000
-107.657969,-469.694781,0.000000
-107.653171,-469.689983,0.000000
-107.648372,-469.685185,0.000000
-107.643574,-469.680386,0.000000
-107.638776,-469.675588,0.000000
-107.633978,-469.670790,0.000000
-107.629180,-469.665992,0.000000
-107.624382,-469.661194,0.000000
-107.619584,-469.656396,0.000000
-107.614786,-469.651598,0.000000
-107.609988,-469.646800,0.000000
-107.605190,-469.642002,0.000000
-107.600392,-469.637204,0.000000
-107.595594,-469.632406,0.000000
-107.590796,-469.627608,0.000000
-107.585998,-469.622810,0.000000
-107.581200,-469.618012,0.000000
-107.576401,-469.613214,0.000000
-107.571603,-469.608415,0.000000
-107.566805,-469.603617,0.000000
-107.562007,-469.598819,0.000000
-107.557209,-469.594021,0.000000
-107.552411,-469.589223,0.000000
-107.547613,-469.584425,0.000000
-107.542815,-469.579627,0.000000
-107.538017,-469.574829,0.000000
-107.533219,-469.570031,0.000000
-107.528421,-469.565233,0.000000
-107.523623,-469.560435,0.000000
-107.518825,-469.555637,0.000000
-107.514027,-469.550839,0.000000
-107.509229,-469.546041,0.000000
-107.504431,-469.541243,0.000000
-107.499632,-469.536444,0.000000
-107.494834,-469.531646,0.000000
-107.490036,-469.526848,0.000000
-107.485238,-469.522050,0.000000
-107.480440,-469.517252,0.000000
-107.475642,-469.512454,0.000000
-107.470844,-469.507656,0.000000
-107.466046,-469.502858,0.000000
-107.461248,-469.498060,0.000000
-107.456450,-469.493262,0.000000
-107.451652,-469.488464,0.000000
-107.446854,-469.483666,0.000000
-107.442056,-469.478868,0.000000
-107.437258,-469.474070,0.000000
-107.432460,-469.469272,0.000000
-107.427661,-469.464473,0.000000
-107.422863,-469.459675,0.000000
-107.418065,-469.454877,0.000000
-107.413267,-469.450079,0.000000
-107.408469,-469.445281,0.000000
-107.403671,-469.440483,0.000000
-107.398873,-469.435685,0.000000
-107.394075,-469.430887,0.000000
-107.389277,-469.426089,0.000000
-107.384479,-469.421291,0.000000
-107.379681,-469.416493,0.000000
-107.374883,-469.411695,0.000000
-107.370085,-469.406897,0.000000
-107.365287,-469.402099,0.000000
-107.360489,-469.397301,0.000000
-107.355690,-469.392502,0.000000
-107.350892,-469.387704,0.000000
-107.346094,-469.382906,0.000000
-107.341296,-469.378108,0.000000
-107.336498,-469.373310,0.000000
-107.331700,-469.368512,0.000000
-107.326902,-469.363714,0.000000
-107.322104,-469.358916,0.000000
-107.317306,-469.354118,0.000000
-107.312508,-469.349320,0.000000
-107.307710,-469.344522,0.000000
-107.302912,-469.339724,0.000000
-107.298114,-469.334926,0.000000
-107.293316,-469.330128,0.000000
-107.288518,-469.325330,0.000000
-107.283719,-469.320531,0.000000
-107.278921,-469.315733,0.000000
-107.274123,-469.310935,0.000000
-107.269325,-469.306137,0.000000
-107.264527,-469.301339,0.000000
-107.259729,-469.296541,0.000000
-107.254931,-469.291743,0.000000
-107.250133,-469.286945,0.000000
-107.245335,-469.282147,0.000000
-107.240537,-469.277349,0.000000
-107.235739,-469.272551,0.000000
-107.230941,-469.267753,0.000000
-107.226143,-469.262955,0.000000
-107.221345,-469.258157,0.000000
-107.216547,-469.253359,0.000000
-107.211748,-469.248560,0.000000
-107.206950,-469.243762,0.000000
-107.202152,-469.238964,0.000000
-107.197354,-469.234166,0.000000
-107.192556,-469.229368,0.000000
-107.187758,-469.224570,0.000000
-107.182960,-469.219772,0.000000
-107.178162,-469.214974,0.000000
-107.173364,-469.210176,0.000000
-107.168566,-469.205378,0.000000
-107.163768,-469.200580,0.000000
-107.158970,-469.195782,0.000000
-107.154172,-469.190984,0.000000
-107.149374,-469.186186,0.000000
-107.144576,-469.181388,0.000000
-107.139777,-469.176590,0.000000
-107.134979,-469.171791,0.000000
-107.130181,-469.166993,0.000000
-107.125383,-469.162195,0.000000
-107.120585,-469.157397,0.000000
-107.115787,-469.152599,0.000000
-107.110989,-469.147801,0.000000
-107.106191,-469.143003,0.000000
-107.101393,-469.138205,0.000000
-107.096595,-469.133407,0.000000
-107.091797,-469.128609,0.000000
-107.086999,-469.123811,0.000000
-107.082201,-469.119013,0.000000
-107.077403,-469.114215,0.000000
-107.072605,-469.109417,0.000000
-107.067807,-469.104619,0.000000
-107.063008,-469.099820,0.000000
-107.058210,-469.095022,0.000000
-107.053412,-469.090224,0.000000
-107.048614,-469.085426,0.000000
-107.043816,-469.080628,0.000000
-107.039018,-469.075830,0.000000
-107.034220,-469.071032,0.000000
-107.029422,-469.066234,0.000000
-107.024624,-469.061436,0.000000
-107.019826,-469.056638,0.000000
-107.015028,-469.051840,0.000000
-107.010230,-469.047042,0.000000
-107.005432,-469.042244,0.000000
-107.000634,-469.037446,0.000000
-106.995836,-469.032648,0.000000
-106.991037,-469.027849,0.000000
-106.986239,-469.023051,0.000000
-106.981441,-469.018253,0.000000
-106.976643,-469.013455,0.000000
-106.971845,-469.008657,0.000000
-106.967047,-469.003859,0.000000
-106.962249,-468.999061,0.000000
-106.957451,-468.994263,0.000000
-106.952653,-468.989465,0.000000
