X(mm),Y(mm),Z(mm)
0.000000,31.750000,0.000000
0.097035,31.750000,0.000000
0.194070,31.750000,0.000000
0.291104,31.750000,0.000000
0.388139,31.750000,0.000000
0.485174,31.750000,0.000000
0.582209,31.750000,0.000000
0.679243,31.750000,0.000000
0.776278,31.750000,0.000000
0.873313,31.750000,0.000000
0.970348,31.750000,0.000000
1.067382,31.750000,0.000000
1.164417,31.750000,0.000000
1.261452,31.750000,0.000000
1.358487,31.750000,0.000000
1.455522,31.750000,0.000000
1.552556,31.750000,0.000000
1.649591,31.750000,0.000000
1.746626,31.750000,0.000000
1.843661,31.750000,0.000000
1.940695,31.750000,0.000000
2.037730,31.750000,0.000000
2.134765,31.750000,0.000000
2.231800,31.750000,0.000000
2.328835,31.750000,0.000000
2.425869,31.750000,0.000000
2.522904,31.750000,0.000000
2.619939,31.750000,0.000000
2.716974,31.750000,0.000000
2.814008,31.750000,0.000000
2.911043,31.750000,0.000000
3.008078,31.750000,0.000000
3.105113,31.750000,0.000000
3.202147,31.750000,0.000000
3.299182,31.750000,0.000000
3.396217,31.750000,0.000000
3.493252,31.750000,0.000000
3.590287,31.750000,0.000000
3.687321,31.750000,0.000000
3.784356,31.750000,0.000000
3.881391,31.750000,0.000000
3.978426,31.750000,0.000000
4.075460,31.750000,0.000000
4.172495,31.750000,0.000000
4.269530,31.750000,0.000000
4.366565,31.750000,0.000000
4.463599,31.750000,0.000000
4.560634,31.750000,0.000000
4.657669,31.750000,0.000000
4.754704,31.750000,0.000000
4.851739,31.750000,0.000000
4.948773,31.750000,0.000000
5.045808,31.750000,0.000000
5.142843,31.750000,0.000000
5.239878,31.750000,0.000000
5.336912,31.750000,0.000000
5.433947,31.750000,0.000000
5.530982,31.750000,0.000000
5.628017,31.750000,0.000000
5.725052,31.750000,0.000000
5.822086,31.750000,0.000000
5.919121,31.750000,0.000000
6.016156,31.750000,0.000000
6.113191,31.750000,0.000000
6.210225,31.750000,0.000000
6.307260,31.750000,0.000000
6.404295,31.750000,0.000000
6.501330,31.750000,0.000000
6.598364,31.750000,0.000000
6.695399,31.750000,0.000000
6.792434,31.750000,0.000000
6.889469,31.750000,0.000000
6.986504,31.750000,0.000000
7.083538,31.750000,0.000000
7.180573,31.750000,0.000000
7.277608,31.750000,0.000000
7.374643,31.750000,0.000000
7.471677,31.750000,0.000000
7.568712,31.750000,0.000000
7.665747,31.750000,0.000000
7.762782,31.750000,0.000000
7.859816,31.750000,0.000000
7.956851,31.750000,0.000000
8.053886,31.750000,0.000000
8.150921,31.750000,0.000000
8.247956,31.750000,0.000000
8.344990,31.750000,0.000000
8.442025,31.750000,0.000000
8.539060,31.750000,0.000000
8.636095,31.750000,0.000000
8.733129,31.750000,0.000000
8.830164,31.750000,0.000000
8.927199,31.750000,0.000000
9.024234,31.750000,0.000000
9.121269,31.750000,0.000000
9.218303,31.750000,0.000000
9.315338,31.750000,0.000000
9.412373,31.750000,0.000000
9.509408,31.750000,0.000000
9.606442,31.750000,0.000000
9.703477,31.750000,0.000000
9.800512,31.750000,0.000000
9.897547,31.750000,0.000000
9.994581,31.750000,0.000000
10.091616,31.750000,0.000000
10.188651,31.750000,0.000000
10.285686,31.750000,0.000000
10.382721,31.750000,0.000000
10.479755,31.750000,0.000000
10.576790,31.750000,0.000000
10.673825,31.750000,0.000000
10.770860,31.750000,0.000000
10.867894,31.750000,0.000000
10.964929,31.750000,0.000000
11.061964,31.750000,0.000000
11.158999,31.750000,0.000000
11.256033,31.750000,0.000000
11.353068,31.750000,0.000000
11.450103,31.750000,0.000000
11.547138,31.750000,0.000000
11.644173,31.750000,0.000000
11.741207,31.750000,0.000000
11.838242,31.750000,0.000000
11.935277,31.750000,0.000000
12.032312,31.750000,0.000000
12.129346,31.750000,0.000000
12.226381,31.750000,0.000000
12.323416,31.750000,0.000000
12.420451,31.750000,0.000000
12.517486,31.750000,0.000000
12.614520,31.750000,0.000000
12.711555,31.750000,0.000000
12.808590,31.750000,0.000000
12.905625,31.750000,0.000000
13.002659,31.750000,0.000000
13.099694,31.750000,0.000000
13.196729,31.750000,0.000000
13.293764,31.750000,0.000000
13.390798,31.750000,0.000000
13.487833,31.750000,0.000000
13.584868,31.750000,0.000000
13.681903,31.750000,0.000000
13.778938,31.750000,0.000000
13.875972,31.750000,0.000000
13.973007,31.750000,0.000000
14.070042,31.750000,0.000000
14.167077,31.750000,0.000000
14.264111,31.750000,0.000000
14.361146,31.750000,0.000000
14.458181,31.750000,0.000000
14.555216,31.750000,0.000000
14.652250,31.750000,0.000000
14.749285,31.750000,0.000000
14.846320,31.750000,0.000000
14.943355,31.750000,0.000000
15.040390,31.750000,0.000000
15.137424,31.750000,0.000000
15.234459,31.750000,0.000000
15.331494,31.750000,0.000000
15.428529,31.750000,0.000000
15.525563,31.750000,0.000000
15.622598,31.750000,0.000000
15.719633,31.750000,0.000000
15.816668,31.750000,0.000000
15.913703,31.750000,0.000000
16.010737,31.750000,0.000000
16.107772,31.750000,0.000000
16.204807,31.750000,0.000000
16.301842,31.750000,0.000000
16.398876,31.750000,0.000000
16.495911,31.750000,0.000000
16.592946,31.750000,0.000000
16.689981,31.750000,0.000000
16.787015,31.750000,0.000000
16.884050,31.750000,0.000000
16.981085,31.750000,0.000000
17.078120,31.750000,0.000000
17.175155,31.750000,0.000000
17.272189,31.750000,0.000000
17.369224,31.750000,0.000000
17.466259,31.750000,0.000000
17.563294,31.750000,0.000000
17.660328,31.750000,0.000000
17.757363,31.750000,0.000000
17.854398,31.750000,0.000000
17.951433,31.750000,0.000000
18.048467,31.750000,0.000000
18.145502,31.750000,0.000000
18.242537,31.750000,0.000000
18.339572,31.750000,0.000000
18.436607,31.750000,0.000000
18.533641,31.750000,0.000000
18.630676,31.750000,0.000000
18.727711,31.750000,0.000000
18.824746,31.750000,0.000000
18.921780,31.750000,0.000000
19.018815,31.750000,0.000000
19.115850,31.750000,0.000000
19.212885,31.750000,0.000000
19.309920,31.750000,0.000000
19.406954,31.750000,0.000000
19.503989,31.750000,0.000000
19.601024,31.750000,0.000000
19.698059,31.750000,0.000000
19.795093,31.750000,0.000000
19.892128,31.750000,0.000000
19.989163,31.750000,0.000000
20.086198,31.750000,0.000000
20.183232,31.750000,0.000000
20.280267,31.750000,0.000000
20.377302,31.750000,0.000000
20.474337,31.750000,0.000000
20.571372,31.750000,0.000000
20.668406,31.750000,0.000000
20.765441,31.750000,0.000000
20.862476,31.750000,0.000000
20.959511,31.750000,0.000000
21.056545,31.750000,0.000000
21.153580,31.750000,0.000000
21.250615,31.750000,0.000000
21.347650,31.750000,0.000000
21.444684,31.750000,0.000000
21.541719,31.750000,0.000000
21.638754,31.750000,0.000000
21.735789,31.750000,0.000000
21.832824,31.750000,0.000000
21.929858,31.750000,0.000000
22.026893,31.750000,0.000000
22.123928,31.750000,0.000000
22.220963,31.750000,0.000000
22.317997,31.750000,0.000000
22.415032,31.750000,0.000000
22.512067,31.750000,0.000000
22.609102,31.750000,0.000000
22.706137,31.750000,0.000000
22.803171,31.750000,0.000000
22.900206,31.750000,0.000000
22.997241,31.750000,0.000000
23.094276,31.750000,0.000000
23.191310,31.750000,0.000000
23.288345,31.750000,0.000000
23.385380,31.750000,0.000000
23.482415,31.750000,0.000000
23.579449,31.750000,0.000000
23.676484,31.750000,0.000000
23.773519,31.750000,0.000000
23.870554,31.750000,0.000000
23.967589,31.750000,0.000000
24.064623,31.750000,0.000000
24.161658,31.750000,0.000000
24.258693,31.750000,0.000000
24.355728,31.750000,0.000000
24.452762,31.750000,0.000000
24.549797,31.750000,0.000000
24.646832,31.750000,0.000000
24.743867,31.750000,0.000000
24.840901,31.750000,0.000000
24.937936,31.750000,0.000000
25.034971,31.750000,0.000000
25.132006,31.750000,0.000000
25.229041,31.750000,0.000000
25.326075,31.750000,0.000000
25.423110,31.750000,0.000000
25.520145,31.750000,0.000000
25.617180,31.750000,0.000000
25.714214,31.750000,0.000000
25.811249,31.750000,0.000000
25.908284,31.750000,0.000000
26.005319,31.750000,0.000000
26.102354,31.750000,0.000000
26.199388,31.750000,0.000000
26.296423,31.750000,0.000000
26.393458,31.750000,0.000000
26.490493,31.750000,0.000000
26.587527,31.750000,0.000000
26.684562,31.750000,0.000000
26.781597,31.750000,0.000000
26.878632,31.750000,0.000000
26.975666,31.750000,0.000000
27.072701,31.750000,0.000000
27.169736,31.750000,0.000000
27.266771,31.750000,0.000000
27.363806,31.750000,0.000000
27.460840,31.750000,0.000000
27.557875,31.750000,0.000000
27.654910,31.750000,0.000000
27.751945,31.750000,0.000000
27.848979,31.750000,0.000000
27.946014,31.750000,0.000000
28.043049,31.750000,0.000000
28.140084,31.750000,0.000000
28.237118,31.750000,0.000000
28.334153,31.750000,0.000000
28.431188,31.750000,0.000000
28.528223,31.750000,0.000000
28.625258,31.750000,0.000000
28.722292,31.750000,0.000000
28.819327,31.750000,0.000000
28.916362,31.750000,0.000000
29.013397,31.750000,0.000000
29.110431,31.750000,0.000000
29.207466,31.750000,0.000000
29.304501,31.750000,0.000000
29.401536,31.750000,0.000000
29.498571,31.750000,0.000000
29.595605,31.750000,0.000000
29.692640,31.750000,0.000000
29.789675,31.750000,0.000000
29.886710,31.750000,0.000000
29.983744,31.750000,0.000000
30.080779,31.750000,0.000000
30.177814,31.750000,0.000000
30.274849,31.750000,0.000000
30.371883,31.750000,0.000000
30.468918,31.750000,0.000000
30.565953,31.750000,0.000000
30.662988,31.750000,0.000000
30.760023,31.750000,0.000000
30.857057,31.750000,0.000000
30.954092,31.750000,0.000000
31.051127,31.750000,0.000000
31.148162,31.750000,0.000000
31.245196,31.750000,0.000000
31.342231,31.750000,0.000000
31.439266,31.750000,0.000000
31.536301,31.750000,0.000000
31.633336,31.750000,0.000000
31.730370,31.750000,0.000000
31.827405,31.750000,0.000000
31.924440,31.750000,0.000000
32.021475,31.750000,0.000000
32.118509,31.750000,0.000000
32.215544,31.750000,0.000000
32.312579,31.750000,0.000000
32.409614,31.750000,0.000000
32.506648,31.750000,0.000000
32.603683,31.750000,0.000000
32.700718,31.750000,0.000000
32.797753,31.750000,0.000000
32.894788,31.750000,0.000000
32.991822,31.750000,0.000000
33.088857,31.750000,0.000000
33.185892,31.750000,0.000000
33.282927,31.750000,0.000000
33.379961,31.750000,0.000000
33.476996,31.750000,0.000000
33.574031,31.750000,0.000000
33.671066,31.750000,0.000000
33.768100,31.750000,0.000000
33.865135,31.750000,0.000000
33.962170,31.750000,0.000000
34.059205,31.750000,0.000000
34.156240,31.750000,0.000000
34.253274,31.750000,0.000000
34.350309,31.750000,0.000000
34.447344,31.750000,0.000000
34.544379,31.750000,0.000000
34.641413,31.750000,0.000000
34.738448,31.750000,0.000000
34.835483,31.750000,0.000000
34.932518,31.750000,0.000000
35.029553,31.750000,0.000000
35.126587,31.750000,0.000000
35.223622,31.750000,0.000000
35.320657,31.750000,0.000000
35.417692,31.750000,0.000000
35.514726,31.750000,0.000000
35.611761,31.750000,0.000000
35.708796,31.750000,0.000000
35.805831,31.750000,0.000000
35.902865,31.750000,0.000000
35.999900,31.750000,0.000000
36.096935,31.750000,0.000000
36.193970,31.750000,0.000000
36.291005,31.750000,0.000000
36.388039,31.750000,0.000000
36.485074,31.750000,0.000000
36.582109,31.750000,0.000000
36.679144,31.750000,0.000000
36.776178,31.750000,0.000000
36.873213,31.750000,0.000000
36.970248,31.750000,0.000000
37.067283,31.750000,0.000000
37.164317,31.750000,0.000000
37.261352,31.750000,0.000000
37.358387,31.750000,0.000000
37.455422,31.750000,0.000000
37.552457,31.750000,0.000000
37.649491,31.750000,0.000000
37.746526,31.750000,0.000000
37.843561,31.750000,0.000000
37.940596,31.750000,0.000000
38.037630,31.750000,0.000000
38.134665,31.750000,0.000000
38.231700,31.750000,0.000000
38.328735,31.750000,0.000000
38.425770,31.750000,0.000000
38.522804,31.750000,0.000000
38.619839,31.750000,0.000000
38.716874,31.750000,0.000000
38.813909,31.750000,0.000000
38.910943,31.750000,0.000000
39.007978,31.750000,0.000000
